,code,name,industry,area,net_profits,profits_yoy,pe,totals,esp,timeToMarket,Frist_price,Frist_high_day,Frist_high_price,low_bet_fh_h_day,low_price_bet_fh_h_price,high_day,high/low_price,high/FH,ma20/FH
0,603186,华正新材,元器件,浙江,7027.52,3.25,34.18,1.29,0.543,20170103,7.73,15,2.59767141009,1 days 00:00:00.000000000,-0.0107874865156,50 days 00:00:00.000000000,0.748455107234,0.729593671341,-0.100755124056
1,601375,中原证券,证券,河南,35575.8,-35.29,63.03,39.24,0.091,20170103,4.8,6,0.835416666667,9 days 00:00:00.000000000,-0.150964812713,68 days 00:00:00.000000000,0.697860962567,0.441543700341,-0.286152099886
2,603444,吉比特,互联网,福建,44345.93,-3.92,23.14,0.72,6.2,20170104,77.76,11,1.59387860082,1 days 00:00:00.000000000,-0.0823004462072,54 days 00:00:00.000000000,0.92868719611,0.769955379276,-0.0428805156173
3,603035,常熟汽饰,汽车配件,江苏,16425.78,3.34,20.43,2.8,0.587,20170105,12.53,6,0.819632881085,1 days 00:00:00.000000000,-0.0342105263158,73 days 00:00:00.000000000,0.339237057221,0.293421052632,-0.304824561404
4,603032,德新交运,公路,新疆,2135.2,-49.72,254.14,1.33,0.16,20170105,6.97,13,2.76757532281,2 days 00:00:00.000000000,-0.0632140137091,280 days 00:00:00.000000000,1.09756097561,0.964965727342,0.837699923839
5,300588,熙菱信息,软件服务,新疆,3546.28,85.39,62.28,1.0,0.355,20170105,5.93,23,5.72849915683,10 days 00:00:00.000000000,-0.107769423559,32 days 00:00:00.000000000,0.45702247191,0.3,-0.263533834586
6,002838,道恩股份,塑料,山东,6619.14,7.72,61.38,1.26,0.525,20170106,18.34,9,1.57142857143,2 days 00:00:00.000000000,-0.139100932994,61 days 00:00:00.000000000,0.801231527094,0.550678541137,-0.124215436811
7,603228,景旺电子,元器件,深圳,51652.95,26.09,26.78,4.08,1.266,20170106,33.35,4,0.331334332834,2 days 00:00:00.000000000,-0.0835585585586,305 days 00:00:00.000000000,0.449987711969,0.328828828829,0.156373873874
8,300583,赛托生物,生物制药,山东,4512.66,-37.64,73.14,1.08,0.44,20170106,48.35,5,0.75677352637,0 days 00:00:00.000000000,0.0,0 days 00:00:00.000000000,0.0,0.0,-0.527725453261
9,603689,皖天然气,供气供热,安徽,9158.78,31.38,41.41,3.36,0.28,20170110,11.33,7,0.639894086496,7 days 00:00:00.000000000,-0.131862217438,114 days 00:00:00.000000000,0.521388716677,0.320775026911,-0.122658772874
10,002840,华统股份,食品,浙江,8671.59,35.11,47.32,1.79,0.5,20170110,7.86,11,1.87531806616,1 days 00:00:00.000000000,-0.0610619469027,338 days 00:00:00.000000000,0.837888784166,0.725663716814,0.541592920354
11,603266,天龙股份,塑料,浙江,6428.4,4.72,30.25,1.0,0.66,20170110,21.07,7,0.772662553393,1 days 00:00:00.000000000,-0.0840696117805,67 days 00:00:00.000000000,0.41216018708,0.29344042838,-0.314109772423
12,300580,贝斯特,汽车配件,江苏,9815.95,18.45,33.22,2.0,0.5,20170111,12.49,7,0.958366693355,6 days 00:00:00.000000000,-0.0433360588716,61 days 00:00:00.000000000,0.444444444444,0.381847914963,-0.128822567457
13,300590,移为通信,通信设备,上海,6059.36,5.04,52.74,1.6,0.39,20170111,34.18,6,0.932124049152,2 days 00:00:00.000000000,-0.120533010297,60 days 00:00:00.000000000,0.360192837466,0.196244700182,-0.563522107813
14,603639,海利尔,农药化肥,山东,19073.14,37.94,21.09,1.2,1.63,20170112,35.93,5,0.34706373504,2 days 00:00:00.000000000,-0.0727272727273,66 days 00:00:00.000000000,0.354723707665,0.256198347107,-0.0823760330579
15,002824,和胜股份,铝,广东,4808.55,-10.19,51.6,1.8,0.34,20170112,11.76,9,1.40816326531,1 days 00:00:00.000000000,-0.0289548022599,21 days 00:00:00.000000000,0.995636363636,0.937853107345,-0.334816384181
16,300584,海辰药业,化学制药,江苏,4589.56,47.12,50.85,0.8,0.59,20170112,13.33,12,2.14328582146,1 days 00:00:00.000000000,-0.0164677804296,53 days 00:00:00.000000000,0.303081776268,0.281622911695,-0.214224343675
17,300593,新雷能,电气设备,北京,3027.1,-19.18,57.57,1.16,0.262,20170113,7.84,20,4.38010204082,5 days 00:00:00.000000000,-0.183736367947,36 days 00:00:00.000000000,0.333430148127,0.088430535799,-0.503058321479
18,300589,江龙船艇,船舶,广东,2149.98,6.39,85.88,1.13,0.191,20170113,8.37,20,4.74910394265,7 days 00:00:00.000000000,-0.136325852037,34 days 00:00:00.000000000,0.200673724735,0.0369908561929,-0.503013300083
19,603038,华立股份,装修装饰,广东,7215.67,-1.54,28.68,0.67,1.11,20170116,33.49,7,0.682591818453,1 days 00:00:00.000000000,-0.0221827861579,62 days 00:00:00.000000000,0.268602540835,0.240461401952,-0.245217391304
20,603668,天马科技,饲料,福建,7048.77,11.17,35.59,2.97,0.237,20170117,8.94,13,1.74944071588,11 days 00:00:00.000000000,-0.026444263629,30 days 00:00:00.000000000,0.362724613456,0.326688364524,-0.528315703824
