date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-07-05,10.58,11.68,11.68,10.58,32.6,3.57,44.02,11.68,11.68,11.68,32.6,32.6,32.6,0.01
2017-07-06,12.85,12.85,12.85,12.85,18.63,1.17,10.02,12.265,12.265,12.265,25.62,25.62,25.62,0.01
2017-07-07,14.14,14.14,14.14,14.14,36.0,1.29,10.04,12.89,12.89,12.89,29.08,29.08,29.08,0.01
2017-07-10,15.55,15.55,15.55,15.55,235.47,1.41,9.97,13.555,13.555,13.555,80.68,80.68,80.68,0.09
2017-07-11,17.11,17.11,17.11,17.11,82.26,1.56,10.03,14.266,14.266,14.266,80.99,80.99,80.99,0.03
2017-07-12,18.82,18.82,18.82,18.82,128.31,1.71,9.99,15.694,15.025,15.025,100.13,88.88,88.88,0.05
2017-07-13,20.7,20.7,20.7,20.7,316.01,1.88,9.99,17.264,15.836,15.836,159.61,121.33,121.33,0.12
2017-07-14,22.77,22.77,22.77,22.77,650.36,2.07,10.0,18.99,16.703,16.703,282.48,187.46,187.46,0.26
2017-07-17,25.05,25.05,25.05,25.05,7982.42,2.28,10.01,20.89,17.63,17.63,1831.87,1053.56,1053.56,3.15
2017-07-18,26.0,27.56,27.56,25.81,165979.56,2.51,10.02,22.98,18.623,18.623,35011.33,17546.16,17546.16,65.48
2017-07-19,25.05,26.13,25.76,24.8,131174.06,-1.8,-6.53,24.368,20.031,19.272,61220.48,30660.31,27875.97,51.75
2017-07-20,25.28,27.86,26.24,25.02,122443.48,0.48,1.86,25.476,21.37,19.853,85645.98,42902.79,35756.6,48.3
2017-07-21,24.68,24.99,24.01,23.78,100418.36,-2.23,-8.5,25.724,22.357,20.172,105599.58,52941.03,40730.58,39.61
2017-07-24,23.11,24.69,24.29,22.85,75037.53,0.28,1.17,25.572,23.231,20.466,119010.6,60421.24,43181.08,29.6
2017-07-25,23.88,24.72,24.02,23.68,56364.56,-0.27,-1.11,24.864,23.922,20.703,97087.6,66049.47,44059.97,22.23
2017-07-26,23.95,25.75,25.42,23.67,92599.62,1.4,5.83,24.796,24.582,20.998,89372.71,75296.6,47093.7,36.53
2017-07-27,25.02,27.96,27.96,25.0,104529.42,2.54,9.99,25.14,25.308,21.408,85789.9,85717.94,50472.27,41.23
2017-07-28,29.0,29.96,28.4,27.96,137744.78,0.44,1.57,26.018,25.871,21.796,93255.18,99427.38,55320.75,54.34
2017-07-31,27.88,28.36,27.6,26.9,85696.93,-0.8,-2.82,26.68,26.126,22.102,95387.06,107198.83,56919.49,33.81
2017-08-01,27.59,28.28,26.25,25.06,93667.21,-1.35,-4.89,27.126,25.995,22.309,102847.59,99967.6,58756.88,36.95
2017-08-02,26.28,26.3,25.75,25.23,60858.46,-0.5,-1.91,27.192,25.994,23.013,96499.36,92936.04,61798.17,24.01
2017-08-03,25.69,27.48,26.17,25.41,82487.23,0.42,1.63,26.834,25.987,23.679,92090.92,88940.41,65921.6,32.54
2017-08-04,26.21,26.39,24.72,24.71,65911.38,-1.45,-5.54,26.098,26.058,24.208,77724.24,85489.71,69215.37,26.0
2017-08-07,24.87,25.49,24.66,24.53,35754.43,-0.06,-0.24,25.51,26.095,24.663,67735.74,81561.4,70991.32,14.1
2017-08-08,24.44,25.63,25.43,23.68,62985.46,0.77,3.12,25.346,26.236,25.079,61599.39,82223.49,74136.48,24.85
2017-08-09,25.1,25.4,24.49,24.16,45000.93,-0.94,-3.7,25.094,26.143,25.363,58427.89,77463.62,76380.11,17.75
2017-08-10,24.21,24.4,23.57,23.48,39596.36,-0.92,-3.76,24.574,25.704,25.506,49849.71,70970.32,78344.13,15.62
2017-08-11,23.12,23.96,23.17,23.04,30449.88,-0.4,-1.7,24.264,25.181,25.526,42757.41,60240.83,79834.1,12.01
2017-08-14,23.08,24.24,23.82,23.05,32397.06,0.65,2.81,24.096,24.803,25.465,42085.94,54910.84,81054.84,12.78
2017-08-15,23.82,24.97,24.85,23.82,49514.19,1.03,4.32,23.98,24.663,25.329,39391.68,50495.54,75231.57,19.53
2017-08-16,24.99,26.38,25.46,24.53,73803.9,0.61,2.46,24.174,24.634,25.314,45152.28,51790.08,72363.06,29.11
2017-08-17,25.34,25.8,25.38,24.7,49822.22,-0.08,-0.31,24.536,24.555,25.271,47197.45,48523.58,68732.0,19.65
2017-08-18,24.84,25.43,24.99,24.69,34696.71,-0.39,-1.54,24.9,24.582,25.32,48046.82,45402.11,65445.91,13.69
2017-08-21,25.0,27.49,27.49,25.0,56692.43,2.5,10.0,25.634,24.865,25.48,52905.89,47495.91,64528.66,22.36
2017-08-22,28.3,29.46,28.43,27.51,123815.57,0.94,3.42,26.35,25.165,25.701,67766.17,53578.93,67901.21,48.84
2017-08-23,28.04,31.27,31.27,27.22,104596.62,2.84,9.99,27.512,25.843,25.993,73924.71,59538.49,68501.06,41.26
2017-08-24,32.0,33.68,29.85,29.6,153944.02,-1.42,-4.54,28.406,26.471,26.088,94749.07,70973.26,70971.79,60.73
2017-08-25,29.11,32.5,31.38,29.11,117908.58,1.53,5.13,29.684,27.292,26.237,111391.44,79719.13,69979.98,46.51
2017-08-28,31.11,33.48,32.89,30.18,114486.04,1.51,4.81,30.764,28.199,26.501,122950.17,87928.03,71419.43,45.16
2017-08-29,32.25,33.8,30.5,30.33,124703.33,-2.39,-7.27,31.178,28.764,26.714,123127.72,95446.94,72971.24,49.19
2017-08-30,29.58,30.7,28.98,28.25,84153.72,-1.52,-4.98,30.72,29.116,26.875,119039.14,96481.92,74136.0,33.2
2017-08-31,29.4,31.11,30.99,29.21,75384.61,2.01,6.94,30.948,29.677,27.116,103327.26,99038.16,73780.87,29.74
2017-09-01,31.0,31.94,31.36,30.09,76431.09,0.37,1.19,30.944,30.314,27.448,95031.76,103211.6,74306.86,30.15
2017-09-04,30.61,33.33,31.8,29.77,93882.23,0.44,1.4,30.726,30.745,27.805,90911.0,106930.58,77213.25,37.03
2017-09-05,31.57,34.98,34.98,30.8,125135.55,3.18,10.0,31.622,31.4,28.283,90997.44,107062.58,80320.75,49.36
2017-09-06,35.5,37.52,37.28,34.38,146260.91,2.3,6.58,33.282,32.001,28.922,103418.88,111229.01,85383.75,57.7
2017-09-07,35.65,36.6,34.71,34.5,105624.62,-2.57,-6.89,34.026,32.487,29.479,109466.88,106397.07,88685.16,41.67
2017-09-08,34.4,34.59,34.18,33.3,67419.1,-0.53,-1.53,34.59,32.767,30.03,107664.48,101348.12,90533.62,26.6
2017-09-11,34.37,35.68,35.57,33.61,62138.6,1.39,4.07,35.344,33.035,30.617,101315.76,96113.38,92020.7,24.51
2017-09-12,35.1,36.28,35.02,33.68,73077.96,-0.55,-1.55,35.352,33.487,31.126,90904.24,90950.84,93198.89,28.83
2017-09-13,34.06,34.94,34.35,34.02,34186.79,-0.67,-1.91,34.766,34.024,31.57,68489.41,85954.15,91218.04,13.49
2017-09-14,34.25,35.3,33.6,33.5,47391.29,-0.75,-2.18,34.544,34.285,31.981,56842.75,83154.81,91096.49,18.69
2017-09-15,33.29,34.16,33.05,32.65,35625.41,-0.55,-1.64,34.318,34.454,32.384,50484.01,79074.25,91142.92,14.05
2017-09-18,32.88,34.69,34.69,32.6,54452.6,1.64,4.96,34.142,34.743,32.744,48946.81,75131.28,91030.93,21.48
2017-09-19,35.0,36.5,34.92,34.41,80380.61,0.23,0.66,34.122,34.737,33.069,50407.34,70655.79,88859.18,31.71
2017-09-20,34.08,38.41,37.48,32.65,106985.59,2.56,7.33,34.748,34.757,33.379,64967.1,66728.26,88978.63,42.2
